Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min
Abadiânia, GO, 32º, 16º, 57% , 23% 
Águas de Lindóia, SP, 31º, 15º, 66% , 23% 
Águas Lindas de Goiás, GO, 32º, 20º, 53% , 21% 
Aguiar, PB, 34º, 22º, 74% , 30% 
Água Clara, MS, 38º, 21º, 42% , 18% 
Agricolândia, PI, 34º, 25º, 55% , 29% 
Agudos do Sul, PR, 21º, 11º, 93% , 41% 
Águas Belas, PE, 28º, 19º, 95% , 55% 
Água Azul do Norte, PA, 34º, 22º, 79% , 41% 
Água Preta, PE, 28º, 21º, 98% , 61% 
Afuá, PA, 33º, 24º, 96% , 55% 
Afrânio, PE, 32º, 19º, 88% , 31% 
Afonso Bezerra, RN, 33º, 23º, 83% , 43% 
Apiacá, ES, 32º, 17º, 98% , 40% 
Aramari, BA, 27º, 20º, 98% , 63% 
Araras, SP, 33º, 19º, 50% , 20% 
Arcos, MG, 30º, 17º, 74% , 32% 
Ariranha do Ivaí, PR, 27º, 18º, 84% , 29% 
Babaçulândia, TO, 37º, 23º, 76% , 27% 
Axixá do Tocantins, TO, 37º, 24º, 75% , 28% 
Arroio do Sal, RS, 17º, 12º, 92% , 78% 
Boa Esperança (MG), MG, 29º, 13º, 90% , 34% 
Bilac, SP, 37º, 22º, 38% , 17% 
Bicas, MG, 29º, 15º, 88% , 45% 
Boa Esperança (ES), ES, 32º, 19º, 98% , 41% 
Boa Esperança, PR, 28º, 16º, 93% , 29% 
Blumenau, SC, 22º, 16º, 100% , 68% 
Birigui, SP, 37º, 21º, 40% , 18% 
Bituruna, PR, 20º, 11º, 100% , 55% 
Bezerros, PE, 26º, 19º, 95% , 63% 
Bias Fortes, MG, 28º, 14º, 87% , 34% 
Betim, MG, 32º, 15º, 74% , 24% 
Betânia, PE, 33º, 19º, 91% , 28% 
Beruri, AM, 36º, 25º, 90% , 43% 
Bertolínia, PI, 35º, 23º, 56% , 23% 
Canindé de São Francisco, SE, 30º, 20º, 97% , 48% 
Bertioga, SP, 23º, 19º, 93% , 65% 
Capela de Santana, RS, 19º, 12º, 92% , 79% 
Brasilândia do Sul, PR, 29º, 16º, 89% , 47% 
Capela, SE, 29º, 20º, 97% , 52% 
Congonhas, MG, 29º, 12º, 90% , 33% 
Conselheiro Mairinck, PR, 35º, 18º, 47% , 22% 
Conquista D'Oeste, MT, 34º, 23º, 51% , 31% 
Conselheiro Lafaiete, MG, 28º, 13º, 89% , 34% 
Constantina, RS, 17º, 13º, 99% , 74% 
Confresa, MT, 37º, 23º, 51% , 21% 
Conselheiro Pena, MG, 31º, 16º, 100% , 36% 
Conquista, MG, 34º, 21º, 44% , 20% 
Cônego Marinho, MG, 32º, 18º, 82% , 28% 
Condeúba, BA, 29º, 17º, 96% , 38% 
Condado, PB, 33º, 22º, 76% , 36% 
Conde, BA, 27º, 22º, 94% , 65% 
Concórdia, SC, 15º, 9º, 96% , 70% 
Condado, PE, 29º, 22º, 89% , 60% 
Conchas, SP, 35º, 18º, 54% , 18% 
Confins, MG, 32º, 15º, 83% , 25% 
Entre Rios do Sul, RS, 16º, 14º, 95% , 71% 
Elesbão Veloso, PI, 34º, 22º,28%,
Entre Rios de Minas, MG, 29º, 14º, 91% , 33% 
Gavião Peixoto, SP, 35º, 22º, 44% , 17% 
Gaúcha do Norte, MT, 37º, 21º, 59% , 23% 
Gavião, BA, 30º, 20º, 97% , 48% 
General Carneiro, MT, 38º, 20º, 59% , 21% 
Gaurama, RS, 17º, 13º, 96% , 79% 
Gastão Vidigal, SP, 37º, 23º, 35% , 18% 
General Câmara, RS, 16º, 13º, 88% , 71% 
Geminiano, PI, 35º, 23º, 72% , 26% 
Garrafão do Norte, PA, 33º, 24º, 91% , 50% 
Garuva, SC, 20º, 12º, 98% , 67% 
Garruchos, RS, 17º, 11º, 82% , 60% 
Garopaba, SC, 19º, 15º, 82% , 72% 
Gaspar, SC, 21º, 15º, 97% , 67% 
Gararu, SE, 30º, 21º, 93% , 51% 
Garibaldi, RS, 16º, 9º, 100% , 89% 
Garça, SP, 34º, 19º, 48% , 21% 
Gurinhém, PB, 29º, 22º, 91% , 57% 
Humaitá, AM, 36º, 24º, 96% , 42% 
Hulha Negra, RS, 12º, 8º, 88% , 61% 
Itapevi, SP, 32º, 15º, 72% , 22% 
Itapetininga, SP, 34º, 17º, 69% , 20% 
Itaperuna, RJ, 34º, 16º, 89% , 35% 
Itapetinga, BA, 28º, 19º, 100% , 52% 
Itapiranga, AM, 35º, 25º, 92% , 47% 
Itapeva, MG, 29º, 15º, 67% , 24% 
Itapema, SC, 20º, 14º, 95% , 66% 
Itaperuçu, PR, 28º, 12º, 78% , 33% 
Itapemirim, ES, 30º, 20º, 92% , 60% 
Itapejara d'Oeste, PR, 18º, 12º, 90% , 60% 
Itapebi, BA, 27º, 19º, 100% , 64% 
Itapé, BA, 27º, 20º, 97% , 61% 
Itapecerica da Serra, SP, 31º, 15º, 78% , 27% 
Itapagé, CE, 32º, 21º,39%,
Itapaci, GO, 36º, 20º, 47% , 21% 
Itumbiara, GO, 36º, 19º, 65% , 17% 
Ituiutaba, MG, 36º, 22º, 39% , 17% 
Jaboatão dos Guararapes, PE, 26º, 23º, 89% , 74% 
João Dourado, BA, 28º, 18º, 88% , 36% 
João Monlevade, MG, 28º, 14º, 100% , 41% 
João Ramalho, SP, 36º, 22º, 40% , 18% 
João Pinheiro, MG, 32º, 20º, 62% , 27% 
João Pessoa, PB, 28º, 23º, 89% , 67% 
Joaquim Felício, MG, 30º, 16º, 83% , 31% 
João Neiva, ES, 30º, 19º, 92% , 43% 
João Lisboa, MA, 37º, 25º,32%,
João Costa, PI, 35º, 22º, 70% , 25% 
Joanésia, MG, 30º, 16º, 100% , 45% 
João Dias, RN, 32º, 21º, 79% , 39% 
João Alfredo, PE, 28º, 20º, 97% , 58% 
